title,link
Haiku (haiku-os.org),https://www.haiku-os.org
Setting up a free *.city.state.us locality domain (fredchan.org),https://fredchan.org/blog/locality-domains-guide/
Open Source Resistance: keep OSS alive on company time (ossresistance.com),https://ossresistance.com/
A History of IDEs at Google (le-brun.eu),https://laurent.le-brun.eu/blog/a-history-of-ides-at-google
S-100 Virtual Workbench (grantmestrength.github.io),https://grantmestrength.github.io/S100/
Launch HN: Ardent (YC P26) – Postgres sandboxes in seconds with zero migration (tryardent.com),https://www.tryardent.com/
Xs of Y – roguelike that names itself every run. Written in 4kLoC (github.com/nooga),https://github.com/nooga/xsofy
Reverting the incremental GC in Python 3.14 and 3.15 (python.org),https://discuss.python.org/t/reverting-the-incremental-gc-in-python-3-14-and-3-15/107014
Leaving GitHub for Forgejo (jorijn.com),https://jorijn.com/en/blog/leaving-github-for-forgejo/
Heritability of human life span is ~50% when heritability is redefined (dynomight.net),https://dynomight.net/lifespan/
The US is winning the AI race where it matters most: commercialization (avkcode.github.io),https://avkcode.github.io/blog/us-winning-ai-race.html
An idiot's guide to lead optimisation for proteins (magnusross.github.io),https://magnusross.github.io/posts/protein-lead-optimisation-1/
New stainless steel can survive conditions for hydrogen production in seawater (sciencedaily.com),https://www.sciencedaily.com/releases/2026/05/260510030950.htm
Preserving Fisher-Price Pixter (dmitry.gr),https://dmitry.gr/?r=05.Projects&proj=37.%20Pixter
I moved my digital stack to Europe (monokai.com),https://monokai.com/articles/how-i-moved-my-digital-stack-to-europe/
Restore full BambuNetwork support for Bambu Lab printers (github.com/fulu-foundation),https://github.com/FULU-Foundation/OrcaSlicer-bambulab
Googlebook (googlebook.google),https://googlebook.google/
Substrate (YC S24) Is Hiring a Technical Success Manager (ycombinator.com),https://www.ycombinator.com/companies/substrate/jobs/T2fMBhD-technical-success-manager
Show HN: Needle: We Distilled Gemini Tool Calling into a 26M Model (github.com/cactus-compute),https://github.com/cactus-compute/needle
Deterministic Fully-Static Whole-Binary Translation Without Heuristics (arxiv.org),https://arxiv.org/abs/2605.08419
Kickstarter is forced to ban adult content by payment processors (kotaku.com),https://kotaku.com/kickstarter-is-the-latest-platform-seemingly-forced-to-ban-adult-content-by-payment-processors-2000695648
Web Server on a Nintendo Wii (sjmulder.nl),http://wii.sjmulder.nl/
Using OR-Tools CP-SAT for Scheduling Problems (atalaykutlay.com),https://atalaykutlay.com/or-tools-cp-sat-for-scheduling-problems.html
50K Tahoe residents need power as utility eyes redirecting lines to data centers (fortune.com),https://fortune.com/2026/05/12/lake-tahoe-data-center-49000-residents-power-source/
Nailing jelly to a wall: is it possible? (2005) (greem.co.uk),https://greem.co.uk/otherbits/jelly.html
Cost of enum-to-string: C++26 reflection vs. the old ways (vittorioromeo.com),https://vittorioromeo.com/index/blog/refl_enum_to_string.html
Why senior developers fail to communicate their expertise (nair.sh),https://www.nair.sh/guides-and-opinions/communicating-your-expertise/why-senior-developers-fail-to-communicate-their-expertise
How to make your text look futuristic (2016) (typesetinthefuture.com),https://typesetinthefuture.com/2016/02/18/futuristic/
CERT is releasing six CVEs for serious security vulnerabilities in dnsmasq (thekelleys.org.uk),https://lists.thekelleys.org.uk/pipermail/dnsmasq-discuss/2026q2/018471.html
Scrcpy v4.0 (github.com/genymobile),https://github.com/Genymobile/scrcpy/releases/tag/v4.0
